code,name,eog_score_black
320323,Durham School of the Arts,67.3
320324,Hillandale Elementary,33.7
320325,Hillside High,37.4
320327,Hope Valley Elementary,47.8
320328,Holt Elementary,40.1
320329,Holton Career and Resource Center,N/A
320332,Forest View Elementary,34.4
320336,DPS Hospital School,N/A
320338,James E Shepard Middle,27.8
320339,Lakewood Elementary,35.9
320340,Little River K-8 School,47.4
320341,Lakeview School,N/A
320342,Lakewood Montessori Middle,47.9
320343,Lucas Middle,38
320344,Fayetteville Street Elementary,21.2
320346,Lowe's Grove Middle,32
320347,George Watts Elementary,46.2
320348,Mangum Elementary,65.6
320352,Merrick-Moore Elementary,27.6
320353,Middle College HS @ DTCC,N/A
320354,Morehead Montessori,56.1
320355,Neal Middle,27.8
320360,Oak Grove Elementary,39
320362,Parkwood Elementary,33.7
320363,E K Powe Elementary,26.6
320364,Pearsontown Elementary,67
320365,Riverside High,31.6
320366,Sherwood Githens Middle,37.4
320367,R N Harris Elementary,43.5
260322,Douglas Byrd High,22.7
320369,Sandy Ridge Elementary,45.2
320370,Rogers-Herr Middle,57.9
320372,Southwest Elementary,36.9
320374,C C Spaulding Elementary,28.6
320376,Spring Valley Elementary,40.9
320388,W G Pearson Elementary,32.5
320400,Y E Smith Elementary,27.6
320701,Hillside New Tech High,37.6
330304,G W Bulluck Elementary,31
330308,G W Carver Elementary,38.6
330312,Coker-Wimberly Elementary,27.6
330326,Edgecombe Early College High,N/A
330328,North Edgecombe High,32.5
330332,Phillips Middle,16.3
330334,Princeville Elementary,27.6
330340,South Edgecombe Middle,24
330344,W A Pattillo Middle,25.6
330348,West Edgecombe Middle,34.5
330354,Stocks Elementary,22.3
260446,Terry Sanford High,28.9
330360,Martin Millennium Academy,38.2
340308,Ashley Academy,21.5
340311,Atkins Academic & Tech High,65.3
340314,Bolton Elementary,33.5
340320,Brunson Elementary,45.1
340326,Caleb's Creek Elementary,67.6
340332,Career Center,N/A
340334,Cash Elementary,44.6
340336,Carter High School,N/A
340344,Childrens Center,N/A
340348,Clemmons Elementary,69.1
340350,Clemmons Middle School,54.3
340351,Cook Literacy Model School,26.2
340354,The Downtown School,61.1
340362,Early College of Forsyth Co,N/A
340364,East Forsyth High,27.7
290336,Ledford Senior High,42.9
340366,East Forsyth Middle School,26.8
340368,Easton Elementary School,19.7
340372,Flat Rock Middle,41.7
340376,Forest Park Elementary,25.4
340380,Gibson Elementary,40
340382,Robert B Glenn High School,36.4
340384,Griffith Elementary,38.1
340385,Main Street Academy,N/A
340390,Hall-Woodward Elementary,29
340392,Hanes Magnet School,44.5
340398,Homebound/ Hospital Education,N/A
340400,Ibraham Elementary,16.5
340403,Jefferson Elementary,61.1
340406,Thomas Jefferson Middle,47.4
340416,Kernersville Elementary,43.3
340420,Kernersville Middle,53.8
340424,Kimberley Park Elementary,14
340426,Kimmel Farm Elementary,47.1
340427,Kingswood School,N/A
340428,Konnoak Elementary,39.9
340430,Diggs-Latham Elementary,29.3
340432,Lewisville Elementary,73.3
340436,Lowrance Middle,N/A
340440,Meadowlark Elementary,70
340442,Meadowlark Middle,64.5
340446,Middle College of Forsyth Cnty,N/A
340448,Mineral Springs Elementary,43.4
340452,Mineral Springs Middle,27.5
340453,Moore Magnet Elementary,35.2
340454,Mount Tabor High School,30.4
300312,Davie County High,41.7
340457,Frank Morgan Elementary,64.5
310344,East Duplin High,40
340462,North Hills Elementary,29.5
340464,Northwest Middle,35.5
340472,Old Richmond Elementary,56
340476,Old Town Elementary,22.6
340480,Paisley IB Magnet School,38.9
310392,Wallace-Rose Hill High,31.6
320312,C E Jordan High,32.9
340488,J F Kennedy High,34.9
340490,Petree Elementary,17
340492,Philo-Hill Magnet Academy,14.8
340494,Piney Grove Elementary,N/A
340495,Ronald W Reagan High School,54.2
340496,R J Reynolds High,39.3
340504,Rural Hall Elementary,29.6
340508,Sedge Garden Elementary,45.8
340512,Sherwood Forest Elementary,65.8
340514,Smith Farm Elementary,24.9
340516,Southeast Middle,44.9
340520,South Fork Elementary,45.6
340528,Southwest Elementary,51.2
340530,Speas Elementary,37.2
340531,The Special Children's School,N/A
340532,Union Cross Traditional Acad,49.1
340536,Vienna Elementary,65
340540,Walkertown Elementary,37.3
340542,Walkertown High,29.8
340544,Walkertown Middle,37.8
340548,Ward Elementary,32.6
340556,West Forsyth High,50.2
320356,Northern High,24
340560,Whitaker Elementary,75.6
340564,Wiley Magnet Middle,31
340568,Winston-Salem Preparatory Acad,16.8
350304,Bunn Elementary,45.1
350308,Bunn High,38.4
350310,Bunn Middle,38.2
350312,Cedar Creek Middle,39.2
350316,Edward Best Elementary,55.7
350317,Franklin County Early College,N/A
350318,Franklinton Elementary,34.8
350321,Franklinton High,36.9
350324,Franklinton Middle,34.8
350330,Laurel Mill Elementary,40
350331,Long Mill Elementary,45.2
350332,Louisburg Elementary,33.5
350336,Louisburg High,32.1
350338,Terrell Lane Middle,39.6
350339,Royal Elementary,36.7
350340,Youngsville Elementary,54.3
360310,Ashbrook High,46.4
320368,Southern School of Energy and Sustainabi,25.3
360320,Belmont Central Elementary,55.6
360324,Belmont Middle,51.7
360332,Bessemer City Central Elem,24.4
360337,Gaston Early College High School,N/A
360338,Bessemer City Primary,N/A
360339,W B Beam Intermediate School,26
360340,Brookside Elementary,37.2
360344,Carr Elementary,45.9
360348,Catawba Heights Elementary,N/A
360352,Chapel Grove Elementary,36.8
360360,Cherryville High,N/A
330350,SouthWest Edgecombe High,23
360364,Cherryville Elementary,N/A
