code,name,eog_score_latino
320322,Durham's Performance Learning Center,N/A
320323,Durham School of the Arts,65.5
320324,Hillandale Elementary,51.1
320325,Hillside High,32.8
320327,Hope Valley Elementary,47.5
320328,Holt Elementary,39.6
320329,Holton Career and Resource Center,N/A
320332,Forest View Elementary,39.9
320336,DPS Hospital School,N/A
320338,James E Shepard Middle,40.2
320339,Lakewood Elementary,39
320340,Little River K-8 School,49.1
320341,Lakeview School,N/A
320342,Lakewood Montessori Middle,39.2
320343,Lucas Middle,36.9
320344,Fayetteville Street Elementary,32.6
320346,Lowe's Grove Middle,37.7
320347,George Watts Elementary,38
320348,Mangum Elementary,N/A
320352,Merrick-Moore Elementary,40.8
320353,Middle College HS @ DTCC,N/A
320354,Morehead Montessori,48.1
320355,Neal Middle,41.8
320356,Northern High,28.9
320360,Oak Grove Elementary,48
320362,Parkwood Elementary,32.8
320363,E K Powe Elementary,23
320364,Pearsontown Elementary,61
320365,Riverside High,39
250372,West Craven High,37.5
320366,Sherwood Githens Middle,36.4
320367,R N Harris Elementary,55.1
320368,Southern School of Energy and Sustainabi,35.1
260322,Douglas Byrd High,30
320369,Sandy Ridge Elementary,50.6
320370,Rogers-Herr Middle,50
320372,Southwest Elementary,40.5
320374,C C Spaulding Elementary,N/A
320376,Spring Valley Elementary,41.8
320388,W G Pearson Elementary,50
320400,Y E Smith Elementary,31.5
330304,G W Bulluck Elementary,56.8
330308,G W Carver Elementary,52.1
330312,Coker-Wimberly Elementary,45.8
330326,Edgecombe Early College High,N/A
330328,North Edgecombe High,N/A
330332,Phillips Middle,33.3
330334,Princeville Elementary,N/A
330340,South Edgecombe Middle,38.5
330344,W A Pattillo Middle,58.6
330348,West Edgecombe Middle,53.3
330354,Stocks Elementary,39.5
330358,Tarboro High,N/A
330360,Martin Millennium Academy,40.5
340308,Ashley Academy,17.5
340311,Atkins Academic & Tech High,73.7
340314,Bolton Elementary,37.9
340320,Brunson Elementary,34.8
340326,Caleb's Creek Elementary,54.9
290308,Central Davidson High,38.9
340332,Career Center,N/A
340334,Cash Elementary,68
340336,Carter High School,N/A
340344,Childrens Center,N/A
340348,Clemmons Elementary,82.9
340350,Clemmons Middle School,50.8
340351,Cook Literacy Model School,N/A
340354,The Downtown School,94.1
340362,Early College of Forsyth Co,>95
340364,East Forsyth High,41
340366,East Forsyth Middle School,28.2
340368,Easton Elementary School,25.1
340372,Flat Rock Middle,37.3
340376,Forest Park Elementary,30.3
340380,Gibson Elementary,45.2
290388,West Davidson High,50
340384,Griffith Elementary,40.7
340385,Main Street Academy,N/A
340390,Hall-Woodward Elementary,34.3
